method,transfer,average,last,path
zero_shot,61.135219393373596,71.22275137901306,80.60842871665955,experiments/paper_transfer_aware/E6_gate_seed42/E6TA_classwise_zero_shot_results.json
rgda_mc4,0.0,44.492821514606476,82.37206816673279,experiments/paper_transfer_aware/E6_gate_seed42/E6TA_classwise_rgda_mc4_results.json
ens_mc4_a0p05,61.68119182215587,72.73914954066277,83.73180687427521,experiments/paper_transfer_aware/E6_gate_seed42/E6TA_classwise_ens_mc4_a0p05_results.json
lada_zs_a0p00,0.0,0.0,0.0,experiments/paper_transfer_aware/E6_gate_seed42/E6TA_classwise_lada_zs_a0p00_results.json
lada_zs_a0p05,0.0,0.0,0.0,experiments/paper_transfer_aware/E6_gate_seed42/E6TA_classwise_lada_zs_a0p05_results.json
lada_zs_a0p10,0.0,0.0,0.0,experiments/paper_transfer_aware/E6_gate_seed42/E6TA_classwise_lada_zs_a0p10_results.json
lada_zs_a0p20,0.0,0.0,0.0,experiments/paper_transfer_aware/E6_gate_seed42/E6TA_classwise_lada_zs_a0p20_results.json
lada_zs_a0p50,0.0,0.0,0.0,experiments/paper_transfer_aware/E6_gate_seed42/E6TA_classwise_lada_zs_a0p50_results.json
lada_zs_a1p00,0.0,0.0,0.0,experiments/paper_transfer_aware/E6_gate_seed42/E6TA_classwise_lada_zs_a1p00_results.json
lada,0.0,0.0,0.0,experiments/paper_transfer_aware/E6_gate_seed42/E6TA_classwise_lada_results.json
